Market,Latitude,Longitude
Ahmedabad,23.0215374,72.5800568
Ahmedabad(Chimanbhai Patal Market Vasana),,
"Ahmedabad(Fruit Market, Naroda)",,
Ahmedabad(Manekchowk),,
Ahmedabad(Rajnagar sub yard),,
Bavla,22.8278859,72.3684741
Dhandhuka,22.3816365,71.9791414
Dholka,22.726607,72.4411863
Dholka(Koth),,
Dholka(Market Yard Veg),,
Mandal,23.2883831,71.9178854
Rampura,23.8695009,72.0189722
Ranpur,22.3598858,71.7169084
Sanad,23.096676069070586,72.10871503143979
Viramgam,23.1224522,72.0483946
